,id,comment,score,sensitivity
30,30,"Yes, it is ;).",[0.02692823],0.5
31,31,What is an insult?,[0.03004607],0.5
32,32,You are so gorgeous and clever. Thank you.,[0.03235634],0.5
33,33,Thank u so much now I can ready for answers them 🤗🤘🏻🌹,[0.03148876],0.5
34,34,"Hi, teacher  Thank you very much  love your channel.",[0.03078441],0.5
35,35,"Thank you for watching, Mohammed!",[0.0281457],0.5
36,36,"Thank you, that's exactly  what I've been looking for.",[0.03105869],0.5
37,37,I like your smile it's lovely 😍,[0.03014582],0.5
38,38,May i know what are not vulgars,[0.03413787],0.5
39,39,You are so adorable,[0.03245723],0.5
40,40,I'd like to thank you for giving us this opportunity to learn more and more about how to use cuss words I promise I won't use them but memorize it,[0.03206746],0.5
41,41,You're welcome. Thanks for watching!,[0.03072837],0.5
42,42,Great,[0.02984107],0.5
43,43,Nice video Maam,[0.03152207],0.5
44,44,Thank you!,[0.02960352],0.5
45,45,"You have explained vulgar insults shyly which indicates you are so respectful teacher , even though, as a learner of a foreign language   I enjoyed and found it helpful. Many thanks",[0.03249114],0.5
46,46,"Haha, thank you :). I admit that I use some of these words, but not constantly, and normally only around people I know well. 😉",[0.02917372],0.5
47,47,"Thank you very much , you just bumped my vocabulary to use this precious and shiny words while playing with some newbies in games. I really was bored with f-/ret-/as-h- words :D now i can use more :D",[0.03249009],0.5
48,48,"Oh Gosh! U r amzing n awesome
I love u miss max
ur videos help me improving my accent very much
I appreciated ur job
ur brilliant 
for record i have a que here which is if some one ask me a que or make with me a conversation how can i open or start the conversation like Well....or Alright..... and continuing talking? Are there other ways to do that? Can u explain that in a video please if u dont mind?!!
Also i hope u make online videos with me to improve my skills much better coz am serious, n that would be my honour to talk 2 u!! 
With love n regards",[0.03162973],0.5
49,49,"Hi again! I'm sorry, I don't do live videos with students, but I do live streams sometimes on YouTube and Instagram during which people can ask me questions (by typing).",[0.03176857],0.5
50,50,The first insult word I have learnt was asshole. I was about 7 years old 😬 great video anyway 👌,[0.9248184],0.5
51,51,Oh dear 😬,[0.01842654],0.5
52,52,"The bloody dogs . God damn it . Damn you. The hell with you. Such a Dumb . Smartass . Bullshit . Cocksucker , kiss my ass . He doesnt know shit . Faggot . Chicken .  Bedwetter .",[0.9395751],0.5
53,53,"Hi Max 😍  it was very interesting and useful video thank you so much for tis, Your accent is superb. I have learned some new words. Offcurse  am not going to use but still we should know those meanings, so many times I thought my self tat how can we learn those vulgur meanings because those are also important.
I like this video because I have been waiting for such video to learn.
Thank you Max.I feel very happy if u reply me☺️ at the same time please give comments on my communication skills. Am from India.",[0.03262988],0.5
54,54,"Thank you very much!
Regarding your writing, you made some mistakes, but I understood everything. :)",[0.03169427],0.5
55,55,"@English with Max  in which section I should improve my communication skill Max, whether in vocabularies or grammar section ?",[0.03173469],0.5
56,56,"@SUJATHA Sir u r I get the impression that your vocabulary is quite good, so I would mainly focus on grammar for the moment. I hope that helps!",[0.03157586],0.5
57,57,@English with Max Ok Max😍,[0.03074085],0.5
58,58,Thanks,[0.02984234],0.5
59,59,"now I will know when someone is saying bad words to another person.
por exemplo: filho da puta, punheteiro, cabeça de pica,  buceta, etc",[0.03488329],0.5
60,60,"Loved the video Max. It is true when we swear (let's say while driving, as a result of some unexpected situation) I naturally react in my own language. It triggers naturally in that way. And it is also true, even though I know very well the meaning of most common insults, I don't find them as offensive as insulting in my own language. Thank you for your time!",[0.03199095],0.5
61,61,"Thanks! Yep, I agree. I admittedly do sometimes swear in other languages, but not nearly as much as I do in English. :D",[0.0312477],0.5
62,62,I'm offended,[0.03010184],0.5
63,63,😂,[0.02414649],0.5
64,64,"@English with Max In fact I'm so offended, I had to come back to watch it again to make sure I was right in being offended. I was.",[0.03156598],0.5
65,65,As one should!,[0.03060449],0.5
66,66,I hearded that this brazilian word abreviation “BJ” means some bad significant in american idiom. Do you know anything like that? BJ means kisses in brazilian words. And in american what does It means exactly? Tks hugs kisses.,[0.01587346],0.5
67,67,"Hi there! I believe some people use it for ""blow job"" (fellatio).",[0.03135749],0.5
68,68,"Hey there, hope you’re doing well. Just wondering do you do personal teaching  ?",[0.03196829],0.5
69,69,"Hello! Thanks for enquiry. Yes, but I'm not currently looking for new students. I might be looking for some around August. I'll make an announcement if that's the case.",[0.03183209],0.5
