,id,comment,score,sensitivity
0,0,"Help more people understand this lesson by contributing subtitles in your own language here:
https://www.youtube.com/timedtext_video?ref=player&v=mIlXQPxKwg8",0.03202604502439499,0.5
1,1,For my knowledge. Thank you,0.030686181038618088,0.5
2,2,You're welcome!,0.03006666712462902,0.5
3,3,"What about fuck! All the time I heard that, and there's fuck with up/off/ over. Explain that, please.",0.9417825937271118,0.5
4,4,"This video is just about insults, not swear words generally. ;) But I'll probably make some other videos about other swear words and expressions.",0.030763106420636177,0.5
5,5,"When I'd heared people saying bastard, son of a bitch and motherfucker, I thought that they were offended others all the time lol",0.9385970830917358,0.5
6,6,It was vry enlightening.,0.030870018526911736,0.5
7,7,:-),0.028600871562957764,0.5
8,8,@English with Max  thnk ya vry much,0.030068708583712578,0.5
9,9,Good video I like it,0.03233148530125618,0.5
10,10,Thanks :),0.029171302914619446,0.5
11,11,Most welcome... And by the way I am also a YouTuber,0.03148352727293968,0.5
12,12,One of the awesomesauce video.,0.032534390687942505,0.5
13,13,Glad you enjoyed it :),0.02989535592496395,0.5
14,14,Your American pronunciations are excellent.,0.031088978052139282,0.5
15,15,Thanks :),0.029171302914619446,0.5
16,16,ia that the key to your heart in your left ear?,0.032245196402072906,0.5
17,17,Absolutely! :D,0.02900523692369461,0.5
18,18,You are amazing madam thank you so much 😘,0.03196105360984802,0.5
19,19,❤️❤️,0.03000267595052719,0.5
20,20,Hi mam please can u ping me on Whatsapp please +91 9689821970,0.03235004097223282,0.5
21,21,I  do  it   all  the   time.,0.030475201085209846,0.5
22,22,2020,0.03000183403491974,0.5
23,23,Love it,0.030411038547754288,0.5
24,24,I saw on word bicth but I donot know the meaning .please help me,0.030995352193713188,0.5
25,25,It's either a female dog or a woman who is mean/nasty. ;),0.03215637803077698,0.5
26,26,"Thanks a lot, this video really doubled my vocabulary! 

I liked that you explained how offensive they are in comparison to the other ones. The main problem about swearwords is to me that you can look up their meaning in a dictionary but it is still difficult to estimate whether they're rather innocuous or really scathing.",0.03255239129066467,0.5
27,27,"Haha, my pleasure!

That's very true!",0.028034741058945656,0.5
28,28,That’s hilarious 🤣,0.0276607908308506,0.5
29,29,Is an insult a bad word or a mean word used to hurt people's feelings?,0.03232083469629288,0.5
30,30,"Yes, it is ;).",0.02692822925746441,0.5
31,31,What is an insult?,0.030046073719859123,0.5
32,32,You are so gorgeous and clever. Thank you.,0.03235634043812752,0.5
33,33,Thank u so much now I can ready for answers them 🤗🤘🏻🌹,0.03148876130580902,0.5
34,34,"Hi, teacher  Thank you very much  love your channel.",0.030784407630562782,0.5
35,35,"Thank you for watching, Mohammed!",0.028145695105195045,0.5
36,36,"Thank you, that's exactly  what I've been looking for.",0.03105868585407734,0.5
37,37,I like your smile it's lovely 😍,0.03014582209289074,0.5
38,38,May i know what are not vulgars,0.034137871116399765,0.5
39,39,You are so adorable,0.03245722874999046,0.5
40,40,I'd like to thank you for giving us this opportunity to learn more and more about how to use cuss words I promise I won't use them but memorize it,0.03206746280193329,0.5
41,41,You're welcome. Thanks for watching!,0.03072836995124817,0.5
42,42,Great,0.029841074720025063,0.5
43,43,Nice video Maam,0.03152207285165787,0.5
44,44,Thank you!,0.029603520408272743,0.5
45,45,"You have explained vulgar insults shyly which indicates you are so respectful teacher , even though, as a learner of a foreign language   I enjoyed and found it helpful. Many thanks",0.03249114006757736,0.5
46,46,"Haha, thank you :). I admit that I use some of these words, but not constantly, and normally only around people I know well. 😉",0.029173720628023148,0.5
47,47,"Thank you very much , you just bumped my vocabulary to use this precious and shiny words while playing with some newbies in games. I really was bored with f-/ret-/as-h- words :D now i can use more :D",0.032490093261003494,0.5
48,48,"Oh Gosh! U r amzing n awesome
I love u miss max
ur videos help me improving my accent very much
I appreciated ur job
ur brilliant 
for record i have a que here which is if some one ask me a que or make with me a conversation how can i open or start the conversation like Well....or Alright..... and continuing talking? Are there other ways to do that? Can u explain that in a video please if u dont mind?!!
Also i hope u make online videos with me to improve my skills much better coz am serious, n that would be my honour to talk 2 u!! 
With love n regards",0.03162972629070282,0.5
49,49,"Hi again! I'm sorry, I don't do live videos with students, but I do live streams sometimes on YouTube and Instagram during which people can ask me questions (by typing).",0.031768571585416794,0.5
